GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
academio,com.autentia.academio.service.teacher.imp,TeacherServiceImp,9,6,0,0,2,3,2,1,2,1
academio,com.autentia.academio.service.storage.imp,StorageServiceImp,68,6,0,0,17,3,3,1,3,1
academio,com.autentia.academio.web,CourseBean,114,0,0,0,38,0,16,0,16,0
academio,com.autentia.academio.web,CourseLevelBean,19,0,0,0,6,0,5,0,5,0
academio,com.autentia.academio.web,TeacherBean,19,0,0,0,6,0,5,0,5,0
academio,com.autentia.academio.service.courseLevel.imp,CourseLevelServiceImp,9,6,0,0,2,3,2,1,2,1
academio,com.autentia.academio.domain,Teacher,73,0,10,0,18,0,13,0,8,0
academio,com.autentia.academio.domain,CourseLevel,23,41,5,5,2,11,7,5,2,5
academio,com.autentia.academio.domain,Course,105,49,20,0,9,21,13,14,3,14
academio,com.autentia.academio.service.course.imp,CourseServiceImp,23,9,0,0,6,4,2,1,2,1
